bestsellers_date,list_name,rank,title
2015-12-05,Combined Print and E-Book Nonfiction,17,In the Image: A Novel
2015-12-19,Series Books,7,"Desert Fathers, Uranium Daughters (Poets, Penguin)"
2015-12-26,Series Books,8,LURING A LADY
2015-12-26,Crime and Punishment,1,NOW EAT THIS!
2015-12-26,Childrens Middle Grade Hardcover,4,Austerlitz (Modern Library Paperbacks)
2015-12-26,Health,7,"DR. STRANGE AND DR. DOOM, TRIUMPH AND TORMENT"
2015-12-26,Travel,9,"Flower Confidential: The Good, the Bad, and the Beautiful"
2016-01-02,E-Book Fiction,13,BUCKINGHAM PALACE GARDENS
2016-01-09,Manga,2,NATCHEZ BURNING
2016-01-09,E-Book Fiction,8,"Feeding the Monster: How Money, Smarts, and Nerve Took a Team to the Top"
2016-01-16,Picture Books,7,"LOVE HINA OMNIBUS, VOL. 4"
2016-01-16,E-Book Nonfiction,11,Misreadings
2016-01-23,E-Book Nonfiction,8,Boy Meets Horn (The Michigan American Music Series)
2016-01-23,Paperback Nonfiction,15,Citizen Newhouse: Portrait of a Media Merchant
2016-01-23,Picture Books,3,FINISHING SCHOOL
2016-01-23,Hardcover Nonfiction,20,FURIOUSLY HAPPY
2016-01-30,Combined Print and E-Book Fiction,11,My Amputations
2016-01-30,Childrens Middle Grade E-Book,2,Conversing with the Planets: How Science and Myth Invented the Cosmos
2016-01-30,Travel,9,DESTINATIONS OF A LIFETIME
2016-02-06,Young Adult Paperback,7,I WAS HERE
2016-02-06,Hardcover Nonfiction,11,ON MY OWN
2016-02-06,Young Adult Hardcover,9,ANNA AND THE SWALLOW MAN
2016-02-06,Advice How-To and Miscellaneous,7,GRACE AND STYLE
2016-02-13,Childrens Middle Grade Paperback,8,BAD MAGIC
2016-02-13,Combined Print and E-Book Fiction,15,A TERRIBLE LOVE
2016-02-20,Combined Print and E-Book Fiction,6,OBAMA'S LAST STAND
2016-02-20,E-Book Nonfiction,9,AND THEN THE ROOF CAVED IN
2016-02-20,Manga,3,1225 CHRISTMAS TREE LANE
2016-02-20,Paperback Graphic Books,10,"DEADPOOL, VOL. 1"
2016-02-20,Combined Print and E-Book Nonfiction,5,Dear Future
2016-02-27,Expeditions Disasters and Adventures,6,"Intoxicated: A Novel of Money, Madness, and the Invention of the World's Favorite Soft Drink"
2016-02-27,Food and Fitness,16,KOREATOWN
2016-02-27,E-Book Nonfiction,8,Little Red Riding Hood in the Red Light District
2016-02-27,Culture,9,M TRAIN
2016-02-27,Games and Activities,2,Doctors and Nurses
2016-02-27,Sports,15,Fat Bald Jeff
2016-02-27,Culture,10,HARLEM
2016-03-12,E-Book Nonfiction,12,"LOVE, SPLAT"
2016-03-12,E-Book Nonfiction,2,MIRACLES FROM HEAVEN
2016-03-12,Trade Fiction Paperback,5,MY CROSS TO BEAR
2016-03-12,Combined Print and E-Book Fiction,1,Fire!: My Parent's Story
2016-03-19,Combined Print and E-Book Fiction,10,"HAWKEYE, VOL. 3"
2016-03-26,Childrens Middle Grade E-Book,2,Jacob's Ladder: The History of the Human Genome
2016-03-26,Animals,10,Mendel's Dwarf
2016-03-26,Sports,9,CATCH ME
2016-03-26,Science,19,HALF-EARTH
2016-04-02,E-Book Fiction,5,Loitering With Intent: The Apprentice
2016-04-02,Mass Market Paperback,1,Making History
2016-04-02,Mass Market Paperback,10,NOBODY MOVE
2016-04-02,Combined Print and E-Book Nonfiction,19,ELLE AND COACH
2016-04-02,Combined Print and E-Book Nonfiction,20,HEART OF A SAMURAI
2016-04-09,Hardcover Fiction,15,LINCHPIN
2016-04-09,Combined Print and E-Book Nonfiction,5,Book of Clouds
2016-04-09,Childrens Middle Grade Hardcover,1,Democracy Matters: Winning the Fight Against Imperialism
2016-04-16,Combined Print and E-Book Nonfiction,16,Ladder of Years: A Novel
2016-04-16,Hardcover Fiction,5,Mother and Two Daughters
2016-04-23,Manga,2,"IS THIS A ZOMBIE?, VOL. 3"
2016-04-23,E-Book Fiction,5,JIM BUTCHER'S DRESDEN FILES: WAR CRY
2016-04-23,Hardcover Graphic Books,7,Melanie Klein: Her World and Her Work (Master Work Series)
2016-04-23,Hardcover Nonfiction,15,DARK NEEDS AT NIGHT’S EDGE
2016-04-30,Humor,10,"I Know Many Songs, But I Cannot Sing"
2016-04-30,Espionage,2,LEGACY OF ASHES
2016-04-30,Travel,10,MARTHA'S VINEYARD
2016-04-30,E-Book Nonfiction,10,Old Floating Cloud: Two Novellas
2016-04-30,Sports,10,American Primitive
2016-04-30,Young Adult Paperback,10,An Accidental Autobiography
2016-04-30,Espionage,1,1000 DOT-TO-DOT: CITIES
2016-04-30,Mass Market Paperback,10,A Bundle from Britain
2016-04-30,Games and Activities,8,DARK STORM
2016-04-30,Travel,5,EAT TO LIVE COOKBOOK
2016-04-30,Hardcover Political Books,9,Ex Libris: Confessions of a Common Reader
2016-04-30,Advice How-To and Miscellaneous,8,Fascinating Rhythm: The Collaboration of George and Ira Gershwin
2016-04-30,Manga,8,HIGH VOLTAGE TATTOO
2016-05-07,Young Adult Hardcover,4,Love and Longing in Bombay: Stories
2016-05-07,E-Book Fiction,10,"Dominion of Memories: Jefferson, Madison & the Decline of Virginia"
2016-05-14,Manga,9,"BLUE EXORCIST, VOL. 15"
2016-05-14,Hardcover Graphic Books,6,EVERYTHING TO LOSE
2016-05-21,E-Book Nonfiction,2,Ivy: The Life of I. Compton-Burnett
2016-05-21,Childrens Middle Grade E-Book,4,Anything Considered: A Novel
2016-05-28,Series Books,9,Lanterns: A Memoir of Mentors
2016-05-28,Series Books,1,7 MILES A SECOND
2016-05-28,Childrens Middle Grade Hardcover,9,BROWN IS THE NEW WHITE
2016-05-28,Combined Print and E-Book Fiction,3,16 LIGHTHOUSE ROAD
2016-05-28,Animals,8,Free Radicals: The Secret Anarchy of Science
2016-06-04,E-Book Nonfiction,10,Lost Lake: Stories
2016-06-04,Manga,1,Orchard On Fire: A Novel
2016-06-04,Mass Market Paperback,5,DETROIT
2016-06-04,Childrens Middle Grade Paperback,10,Finding Flow: The Psychology of Engagement with Everyday Life (Masterminds Series)
2016-06-04,Childrens Middle Grade Hardcover,7,FIVE DAYS IN NOVEMBER
2016-06-04,Young Adult Hardcover,4,GLORY OVER EVERYTHING
2016-06-11,E-Book Fiction,14,Interior Design: Stories
2016-06-11,Young Adult Hardcover,9,ELECT
2016-06-11,E-Book Nonfiction,15,EMPIRE OF BLUE WATER
2016-06-11,Combined Print and E-Book Fiction,1,Endangered
2016-06-11,Hardcover Nonfiction,6,GUARDIAN OF LIES
2016-06-18,Combined Print and E-Book Fiction,1,Bayard Rustin: Troubles I've Seen: A Biography
2016-06-18,Combined Print and E-Book Nonfiction,6,Clara Barton #1: Angel of the Battlefield (The Treasure Chest)
2016-06-18,Picture Books,7,Exuberance: The Passion for Life
2016-06-25,Celebrities,7,Hunger Trilogy
2016-06-25,Humor,5,I'M JUST A PERSON
2016-06-25,Sports,17,More Washingtoons
2016-06-25,Sports,20,Natural Elements (Vintage)
2016-06-25,Sports,8,On the Town: One Hundred Years of Spectacle in Times Square
2016-06-25,Health,10,BRANDED BY FIRE
2016-06-25,Espionage,7,"CODENAME: SAILOR V, Vol. 1"
2016-06-25,Games and Activities,4,CREATIVE HAVEN DAZZLING DOGS COLORING BOOK
2016-06-25,E-Book Nonfiction,14,Get Happy: The Life of Judy Garland
2016-06-25,Humor,2,"God Bless You, Dr. Kevorkian"
2016-06-25,Family,7,HAATCHI AND LITTLE B
2016-07-02,E-Book Nonfiction,6,HOUSE OF NAILS
2016-07-02,Hardcover Fiction,8,Before The Storm: Memories of My Youth in Old Prussia
2016-07-02,E-Book Fiction,2,FIRST COMES MARRIAGE
2016-07-09,Hardcover Graphic Books,3,How to Teach Relativity to Your Dog
2016-07-09,Advice How-To and Miscellaneous,14,"IT'S A BIG WORLD, LITTLE PIG!"
2016-07-09,Mass Market Paperback,5,Little Boys Come from the Stars
2016-07-09,Young Adult Paperback,5,LOOKING FOR ME
2016-07-09,Mass Market Paperback,13,"Always Wear Clean Underwear!: And Other Ways Parents Say ""I Love You"""
2016-07-09,Manga,3,"BLEACH, VOL. 67"
2016-07-16,Combined Print and E-Book Fiction,18,Life Estates (Vintage)
2016-07-16,Paperback Graphic Books,3,MUCH ADO ABOUT VAMPIRES
2016-07-16,Combined Print and E-Book Nonfiction,10,CRAZY RICH
2016-07-23,E-Book Fiction,5,DIGITAL DESTINY
2016-07-23,Hardcover Fiction,14,GUILTY PLEASURE
2016-07-30,Childrens Middle Grade Paperback,10,INSIDE SCIENTOLOGY
2016-07-30,E-Book Fiction,9,KILLER SUMMER
2016-07-30,Young Adult Hardcover,2,LADYBUG GIRL AND BUMBLEBEE BOY
2016-07-30,Sports,20,Assorted Fire Events: Stories
2016-07-30,Expeditions Disasters and Adventures,5,BAREFOOT
2016-07-30,Young Adult E-Book,4,A Crack in the Edge of the World: America and the Great California Earthquake of 1906 (P.S.)
2016-07-30,Combined Print and E-Book Fiction,12,DEADLY HEAT
2016-08-06,Manga,4,"ONE PIECE, VOL. 79"
2016-08-06,E-Book Nonfiction,3,American Jesus: How the Son of God Became a National Icon
2016-08-06,Hardcover Fiction,1,Bully: Does Anyone Deserve to Die? : A True Story of High School Revenge
2016-08-06,E-Book Nonfiction,6,CRITICAL
2016-08-06,Series Books,9,Dos Passos: A Life
2016-08-06,E-Book Nonfiction,12,EMPTY MANSIONS
2016-08-06,Young Adult E-Book,4,"Forgive Us Our Press Passes, Selected Works by Daniel Schorr (1972-1998)"
2016-08-13,Combined Print and E-Book Nonfiction,5,AROUND MY FRENCH TABLE
2016-08-13,Hardcover Graphic Books,1,"CLIVE BARKER'S HELLRAISER, VOL. 3"
2016-08-13,E-Book Nonfiction,5,A Hole in the World: An American Boyhood Tenth Anniversary Edition
2016-08-13,Combined Print and E-Book Fiction,18,Fan-Tan
2016-08-20,Advice How-To and Miscellaneous,14,INSPIRALIZE EVERYTHING
2016-08-20,Trade Fiction Paperback,9,Meals to Come: A History of the Future of Food (California Studies in Food and Culture)
2016-08-20,Young Adult E-Book,5,"ONE PIECE, VOL, 60"
2016-08-27,Combined Print and E-Book Nonfiction,16,Inamorata
2016-08-27,Animals,10,Cracker Jackson (Puffin Story Books)
2016-08-27,Hardcover Nonfiction,9,"Group Portrait: Joseph Conrad, Stephen Crane, Ford Madox Ford, Henry James, and H.G. Wells"
2016-09-03,Advice How-To and Miscellaneous,12,HOW TO READ WATER
2016-09-03,Series Books,3,MAGISTERIUM
2016-09-03,Manga,1,"MONSTER MUSUME, VOL. 9"
2016-09-03,Hardcover Graphic Books,1,BATMAN: THE RETURN OF BRUCE WAYNE
2016-09-10,Mass Market Paperback,12,HUNTED
2016-09-10,Mass Market Paperback,15,ONCE BURNED
2016-09-10,Series Books,8,BIG NATE
2016-09-10,Childrens Middle Grade Paperback,1,A LONG WALK TO WATER
2016-09-10,Young Adult Paperback,5,A MOST IMPERFECT UNION
2016-09-10,Series Books,5,Giving Up the Ghost : A Memoir (John MacRae Books)
2016-09-10,Combined Print and E-Book Fiction,15,HERE TO STAY
2016-09-17,E-Book Nonfiction,13,MY NEXT STEP
2016-09-17,Hardcover Fiction,19,NAVIGATORS OF DUNE
2016-09-17,Hardcover Graphic Books,1,"BATMAN, VOL. 9"
2016-09-17,Combined Print and E-Book Nonfiction,3,Between East and West: Across the Borderlands of Europe
2016-09-17,Hardcover Fiction,10,A GENTLEMAN NEVER TELLS
2016-09-17,Hardcover Graphic Books,2,GHOULS JUST HAUNT TO HAVE FUN
2016-09-24,Combined Print and E-Book Fiction,4,MAGIC BINDS
2016-09-24,Education,6,NEVER CRY WOLF
2016-09-24,Combined Print and E-Book Fiction,12,"AQUAMAN, VOL. 1"
2016-09-24,Combined Print and E-Book Nonfiction,18,BELLE
2016-09-24,E-Book Fiction,12,CHANDLER
2016-09-24,Crime and Punishment,7,FOREVER BUCKHORN
2016-09-24,Manga,3,Goodnight Silky Sullivan
2016-09-24,Hardcover Graphic Books,1,HAUNTED MANSION
2016-09-24,Combined Print and E-Book Fiction,2,Home and Exile
2016-10-01,Combined Print and E-Book Fiction,12,CHRISTMAS CARAMEL MURDER
2016-10-01,E-Book Nonfiction,6,Hitter: The Life and Turmoils of Ted Williams
2016-10-08,Combined Print and E-Book Fiction,10,INFORMED RISK
2016-10-08,Series Books,5,MIDDLE SCHOOL: GET ME OUT OF HERE!
2016-10-08,Manga,4,"ASSASSINATION CLASSROOM, VOL. 12"
2016-10-08,Hardcover Fiction,16,Bronx Ecology: Blueprint for a New Environmentalism
2016-10-08,Young Adult Hardcover,1,Children of the Alley: A Novel
2016-10-08,E-Book Fiction,12,DOWN SHIFT
2016-10-08,Young Adult Hardcover,6,Holes (A Yearling Book)
2016-10-15,Combined Print and E-Book Nonfiction,13,I AM BRIAN WILSON
2016-10-15,Picture Books,4,ADAMS
2016-10-15,E-Book Nonfiction,6,Love Without Wings: Some Friendships in Literature and Politics
2016-10-15,Hardcover Nonfiction,19,Between Washington and Jerusalem: A Reporter's Notebook
2016-10-15,Young Adult E-Book,4,BLACK WIDOW: FOREVER RED
2016-10-15,E-Book Fiction,10,Complicated Women: Sex and Power in Pre-Code Hollywood
2016-10-15,E-Book Nonfiction,10,A LIFE IN PARTS
2016-10-15,Combined Print and E-Book Nonfiction,16,"A Little Books Boxed Set Featuring Little Pea, Little Hoot, Little Oink"
2016-10-15,Series Books,3,Diary of an Erotic Life
2016-10-15,Childrens Middle Grade Hardcover,4,GREAT BY CHOICE
2016-10-22,Picture Books,4,If You Knew Me
2016-10-29,Mass Market Paperback,14,A WEDDING FOR CHRISTMAS
2016-10-29,Education,10,IN A GLASS GRIMMLY
2016-10-29,Combined Print and E-Book Nonfiction,14,Let the Dead Bury Their Dead and Other Stories
2016-10-29,Manga,3,"AKAME GA KILL!, VOL. 8"
2016-10-29,Fashion Manners and Customs,5,Caramelo
2016-10-29,Advice How-To and Miscellaneous,12,CARTER REED 2
2016-10-29,Food and Fitness,1,COOL GRAY CITY OF LOVE
2016-10-29,Childrens Middle Grade Paperback,4,Esther Stories
2016-10-29,Travel,6,For Better or For Worse: Divorce Reconsidered
2016-10-29,Health,7,Getting Mother's Body: A Novel
2016-10-29,Games and Activities,7,HARRY POTTER MAGICAL PLACES AND CHARACTERS COLORING BOOK
2016-11-05,Young Adult E-Book,4,"How to Lead by The Book: Proverbs, Parables, and Principles to Tackle Your Toughest Business Challenges"
2016-11-05,Manga,4,Jonah and the Pink Whale
2016-11-05,Paperback Nonfiction,8,JUST TO BE WITH YOU
2016-11-05,Series Books,6,Kellogg's Six-Hour Day
2016-11-05,Combined Print and E-Book Fiction,20,MR. PRESIDENT
2016-11-05,Trade Fiction Paperback,5,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY
2016-11-05,Manga,1,Only Love Can Break Your Heart
2016-11-05,Paperback Graphic Books,7,DC SUPER HERO GIRLS: HITS AND MYTHS
2016-11-05,E-Book Nonfiction,7,DON’T BLINK
2016-11-05,Hardcover Graphic Books,8,Filth
2016-11-12,Advice How-To and Miscellaneous,2,MEDICAL MYTHS THAT CAN KILL YOU
2016-11-12,Series Books,3,Miss Wyoming
2016-11-12,Hardcover Graphic Books,2,"Mollie Peer: or, The Underground Adventure of the Moosepath League"
2016-11-12,Combined Print and E-Book Nonfiction,16,A Person of Interest: A Novel
2016-11-12,Hardcover Nonfiction,6,Hank & Chloe
2016-11-12,Young Adult Hardcover,1,HEAT LIGHTNING
2016-11-19,Paperback Graphic Books,8,"MARDOCK SCRAMBLE, VOL. 4"
2016-11-19,Hardcover Nonfiction,9,BOUNCE BACK
2016-11-26,Fashion Manners and Customs,9,John Fowles: A Life in Two Worlds
2016-11-26,Family,3,Lucky Bastard:: A Novel
2016-11-26,Education,9,"Matisse the Master: A Life of Henri Matisse: The Conquest of Colour, 1909-1954"
2016-11-26,Hardcover Fiction,11,MOONGLOW
2016-11-26,Hardcover Fiction,6,"Night: Night Life, Night Language, Sleep, and Dreams"
2016-11-26,Combined Print and E-Book Fiction,14,Osbert Sitwell
2016-11-26,Fashion Manners and Customs,10,American Fascists: The Christian Right and the War on America
2016-11-26,Manga,3,"BLACK BUTLER, VOL. 5"
2016-11-26,Picture Books,9,CHARLIE THE RANCH DOG
2016-11-26,Young Adult Hardcover,2,Courier from Warsaw
2016-12-03,Combined Print and E-Book Fiction,4,No More Vietnams
2016-12-03,Paperback Graphic Books,3,DREAM HOME
2016-12-03,Manga,10,Fairy Tale (Common Reader's Alice Thomas Ellis)
2016-12-03,E-Book Fiction,14,Family Matters
2016-12-10,Hardcover Fiction,13,ALL THE LIGHT WE CANNOT SEE
2016-12-10,Combined Print and E-Book Fiction,16,Bachura Scandal and Other Stories and Sketches
2016-12-10,Series Books,8,Heroic Measures (Vintage Contemporaries)
2016-12-17,E-Book Fiction,6,MAX
2016-12-17,E-Book Fiction,4,CROSSCURRENT
2016-12-17,E-Book Fiction,10,Dark Debts
2016-12-17,Manga,9,"FAIRY TAIL, VOL. 12"
2016-12-24,Combined Print and E-Book Fiction,18,One Foot off the Gutter
2016-12-31,Hardcover Political Books,1,KILLING TIME
2016-12-31,Combined Print and E-Book Fiction,11,Millennials Rising: The Next Great Generation
2016-12-31,E-Book Nonfiction,15,Alfred Russel Wallace: A Life
2016-12-31,E-Book Fiction,9,ALL THERE IS
2016-12-31,Manga,1,"ATTACK ON TITAN, VOL. 5"
2016-12-31,Trade Fiction Paperback,2,A Fabulous Creature
2016-12-31,Hardcover Nonfiction,13,BORN IN FIRE
2016-12-31,Trade Fiction Paperback,3,A Man of Letters: Selected Essays
2016-12-31,Childrens Middle Grade E-Book,2,DOG MEDICINE
2016-12-31,Combined Print and E-Book Nonfiction,2,Hippie
2017-01-07,E-Book Fiction,8,COMMENCEMENT
2017-01-07,E-Book Fiction,3,DISTANT SHORES
2017-01-07,Advice How-To and Miscellaneous,1,"FOOD, INC."
2017-01-14,Young Adult E-Book,3,MOBBED
2017-01-14,Young Adult E-Book,2,"FLASH OMNIBUS, VOL. 1"
2017-01-14,Combined Print and E-Book Nonfiction,1,Hidden Power: Presidential Marriages That Shaped Our Recent History
2017-01-21,Series Books,8,HOW
2017-01-21,Combined Print and E-Book Nonfiction,15,INSANELY SIMPLE
2017-01-21,Combined Print and E-Book Fiction,1,NEVER ROMANCE A RAKE
2017-01-21,Combined Print and E-Book Nonfiction,14,Auden
2017-01-21,Combined Print and E-Book Fiction,4,Fiction and Repetition : Seven English Novels
2017-01-28,Sports,5,I GOT THIS
2017-01-28,Combined Print and E-Book Nonfiction,13,GOTCHA!
2017-02-04,Combined Print and E-Book Fiction,7,BILLY MARTIN
2017-02-11,Paperback Nonfiction,8,I AM NUMBER FOUR
2017-02-11,Combined Print and E-Book Nonfiction,11,Black Girl in Paris
2017-02-18,Combined Print and E-Book Fiction,10,Gunner's run
2017-02-18,Combined Print and E-Book Fiction,1,HEARTBREAK OF A HUSTLER S WIFE
2017-02-25,Combined Print and E-Book Fiction,6,AGAINST ALL GRAIN
2017-02-25,Hardcover Fiction,6,A Conspiracy of Tall Men
